"";"No procedure property";F;" ";T;F;"";2013/06/05;"Ei toimenpideoiminaisuutta";T
"05V11";"ECG";F;"0";T;F;"";/  /;"";T
"05V12";"Blood vessel biopsy";F;"0";T;F;"";/  /;"";F
"05V13";"Blood vessel ultrasonography";F;"0";T;F;"";/  /;"";F
"05V14";"Check-up of patient with pacemaker-/ICD";F;"0";T;F;"05";2011/06/13;"Check-up of patient with pacemaker-/ICD";F
"06D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 06";F;"0";T;F;"";2005/01/17;"";F
"06D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 06";F;"0";T;F;"";2005/01/17;"";F
"06D41";"Diagnostic procedure of musculosceletal system in MDC 06";F;"0";T;F;"";2005/01/17;"";F
"06D61";"Diagnostic procedure of periferal vascular system in MDC 06";F;"0";T;F;"";2004/08/10;"";T
"06D62";"Demanding diagnostic procedure of periferal vascular system in MDC 06";F;"0";T;F;"";2004/08/10;"";F
"06E03";"Esophagoscopy with insertion of stent for gastrointestinal problem";T;"0";T;F;"06";2002/01/21;"";F
"06E04";"Therapeutic enteroscpy";T;"0";T;F;"06";2002/01/21;"";F
"06E05";"Therapeutic endoscopy of lower gastrointestinal tract for gastrointest";F;"0";T;F;"06";2002/01/21;"";T
"06E06";"Therapeutic endoscopy of upper gastrointestinal tract for gastrointest";T;"0";T;F;"06";2002/01/21;"";F
"06E07";"Therapeutic rectoscopy for gastrointestinal problem";T;"0";T;F;"06";2002/01/21;"";F
"06E08";"Endoscopic treatment of hemorrhoids";T;"0";T;F;"06";2012/10/03;"Ruuansulatuskanavan sairauden Uƒ-tutkimus t‰hystyksess‰";F
"06E09";"Enteroscopy for gastrointestinal problem";T;"0";T;F;"06";2002/01/21;"";F
"06E10";"Colonoscopy for gastrointestinal diseases";T;"0";T;F;"06";2002/01/21;"";F
"06E11";"Endoscopy of upper gastrointestinal tract for gastrointestinal problem";T;"0";T;F;"06";2002/01/21;"";F
"06E12";"Rectosigmoideoscopy for gastrointestinal problem";T;"0";T;F;"06";2002/01/21;"";F
"06E13";"Endoscopic insertion of stent to biliary tract or pancreas for gastrointestinal problem";T;"0";T;F;"";2003/10/02;"";F
"06E14";"Other therapeutic endoscopy of biliary tract for gastrointestinal prob";T;"0";T;F;"06";2002/01/21;"";F
"06E20";"Capsular endoscopy";T;"0";T;F;"";/  /;"";F
"06O01";"Minor procedure for intestinal obstruction";F;"0";T;F;"";/  /;"";F
"06O02";"Gastrointestinal physiology";F;"0";T;F;"";/  /;"";T
"06O03";"Puncture or biopsy of abdominal organs, short therapy";F;"0";T;F;"";/  /;"";F
"06O04";"Minor abdominal procedure";F;"0";T;F;"";/  /;"";F
"06O05";"Gastrointestinal sonds and catheters";F;"0";T;F;"";/  /;"";F
"06O06";"Gastrointestinal minor invasive biopsy";F;"0";T;F;"";/  /;"";F
"06S01";"Stomach, esophagus or duodenum procedure";T;"1";T;T;"";1996/12/31;"Vatsan, ruokatorven tai pohjukaisuolen toimenpide";T
"06S02";"Major small or large bowel procedure";T;"1";T;T;"";1996/12/31;"Laaja ohut- tai paksusuolen leikkaus";T
"06S03";"Rectal resection";T;"1";T;T;"";1996/12/31;"Per‰suolen resektio";T
