"";"";"";"";F;2012/06/29;""
"002B";"01";"Surgery of chronic subdural hematoma";"Surgery of chronic subdural hematoma";T;2006/09/11;"  2B"
"002BC";"01";"Surgery of chronic subdural hematoma with CC";"Surgery of chronic subdural hematoma with CC";F;2010/02/24;"  2BC"
"002BM";"01";"Surgery of chronic subdural hematoma with MCC";"Surgery of chronic subdural hematoma with MCC";F;2010/02/24;"  2BM"
"002BN";"01";"Surgery of chronic subdural hematoma";"Surgery of chronic subdural hematoma";F;2010/02/24;"  2BN"
"003A";"01";"Craniotomy for trauma age 0-17";"Craniotomy for trauma age 0-17";F;1998/11/23;"  3A"
"003B";"01";"Craniotomy age 0-17 except for trauma";"Craniotomy age 0-17 except for trauma";F;1998/11/23;"  3B"
"003O";"01";"Craniotomy, short therapy";"Craniotomy, short therapy";T;2003/05/22;"  3O"
"003P";"01";"Stereotactic intracranial radiotherapy";"Stereotactic intracranial radiotherapy";T;2008/04/13;"  3P"
"003X";"01";"Craniotomy age 0-17";"Craniotomy age 0-17";F;1996/12/31;"  3"
"004C";"01";"Spinal procedures with CC";"Spinal procedures with CC";F;2010/03/02;"  4C"
"004N";"01";"Spinal procedures";"Spinal procedures";F;2010/03/02;"  4N"
"004O";"01";"Spinal procedures, short therapy";"Spinal procedures, short therapy";T;2003/05/23;"  4O"
"004X";"01";"Spinal procedures";"Spinal procedures";T;1996/12/31;"  4"
"005C";"01";"Extracranial vascular procedures with CC";"Extracranial vascular procedures with CC";F;2010/03/02;"  5C"
"005M";"01";"Extracranial vascular procedures with MCC";"Extracranial vascular procedures with MCC";F;2010/03/02;"  5M"
"005N";"01";"Extracranial vascular procedures";"Extracranial vascular procedures";F;2010/03/02;"  5N"
"005O";"01";"Extracranial vascular procedures, short therapy";"Extracranial vascular procedures, short therapy";T;2003/05/23;"  5O"
"005X";"01";"Extracranial vascular procedures";"Extracranial vascular procedures";T;2009/04/17;"  5"
"006O";"01";"Carpal tunnel release, short therapy";"Carpal tunnel release, short therapy";T;2003/05/23;"  6O"
"006X";"01";"Carpal tunnel release";"Carpal tunnel release";T;2009/04/17;"  6"
"007M";"01";"Periph & cranial nerve & other nerv sys proc with MCC";"Periph & cranial nerve & other nerv sys proc with MCC";F;2010/03/02;"  7M"
"007X";"01";"Periph & cranial nerve & other nerv sys proc w cc";"Periph & cranial nerve & other nerv sys proc w cc";T;1996/12/31;"  7"
"008A";"01";"Periph & cranial nerve & other nerv sys proc w/o cc, age 0-17 yrs";"Periph & cran nerve & other nerv sys proc w/o cc, age 0-17";F;2003/10/09;"  8A"
"008B";"01";"Periph & cranial nerve & other nerv sys proc w/o cc, age > 17 yrs";"Periph & craninerve & other nerv sys proc w/o cc, age > 17";F;2003/10/09;"  8B"
"008O";"01";"Periph & cranial nerve & other nerv sys proc, short therapy";"Periph & cranial nerve & other nerv sys proc, sort th";T;2003/05/23;"  8O"
"008X";"01";"Periph & cranial nerve & other nerv sys proc w/o cc";"Periph & cranial nerve & other nerv sys proc w/o cc";T;1996/12/31;"  8"
"009C";"01";"Spinal disorders & injuries with CC";"Spinal disorders & injuries with CC";F;2010/03/02;"  9C"
"009M";"01";"Spinal disorders & injuries with MCC";"Spinal disorders & injuries with MCC";F;2010/03/02;"  9M"
"009N";"01";"Spinal disorders & injuries";"Spinal disorders & injuries";F;2010/03/02;"  9N"
"009X";"01";"Spinal disorders & injuries";"Spinal disorders & injuries";T;1996/12/31;"  9"
"010C";"01";"Nervous system neoplasm w cc";"Nervous system neoplasm w cc";F;2010/03/02;" 10C"
"010M";"01";"Nervous system neoplasm w mcc";"Nervous system neoplasm w mcc";F;2010/03/02;" 10M"
"010X";"01";"Nervous system neoplasm w cc";"Nervous system neoplasm w cc";T;1996/12/31;" 10"
"011FA";"01";"Nervous system neoplasm w/o cc, radiotherapy";"Nervous system neoplasm w/o cc, radiotherapy";F;2006/01/13;" 11A"
"011FB";"01";"Nervous system neoplasm w/o cc, stereotactic radiotherapy or isotope therapy";"Nervous system neoplasm w/o cc, ste radioth or isot ther";F;2006/01/13;" 11B"
"011FC";"01";"Nervous system neoplasm w/o cc, demanding isotope therapy";"Nervous system neoplasm w/o cc, demanding isotope therapy";F;2006/01/13;" 11C"
"011FD";"01";"Nervous system neoplasm w/o cc, cytostatic therapy";"Nervous system neoplasm w/o cc, cytostatic therapy";F;2006/01/13;" 11D"
"011FE";"01";"Nervous system neoplasm w/o cc, demanding cytostatic therapy";"Nervous system neoplasm w/o cc, demanding cytostatic therapy";F;2006/01/13;" 11E"
"011FF";"01";"Nervous system neoplasm w/o cc";"Nervous system neoplasm w/o cc";F;2006/01/13;" 11F"
"011X";"01";"Nervous system neoplasm w/o cc";"Nervous system neoplasm w/o cc";T;1996/12/31;" 11"
"012M";"01";"Degenerative nervous system disorders with mcc";"Degenerative nervous system disorders with mcc";F;2010/03/02;" 12M"
"012N";"01";"Degenerative nervous system disorders";"Degenerative nervous system disorders";F;2010/03/02;" 12N"
"012O";"01";"Degenerative nervous system disorders, short therapy";"Degenerative nervous system disorders, short therapy";F;2009/06/03;"012O"
"012X";"01";"Degenerative nervous system disorders";"Degenerative nervous system disorders";T;1996/12/31;" 12"
"013C";"01";"Multiple sclerosis and cerebellar ataxia with cc";"Multiple sclerosis and cerebellar ataxia with cc";F;2010/03/02;" 13C"
"013M";"01";"Multiple sclerosis and cerebellar ataxia with mcc";"Multiple sclerosis and cerebellar ataxia with mcc";F;2010/03/02;" 13M"
"013N";"01";"Multiple sclerosis and cerebellar ataxia";"Multiple sclerosis and cerebellar ataxia";F;2010/03/02;" 13N"
"013O";"01";"Multiple sclerosis and cerebellar ataxia, short therapy";"Multiple sclerosis and cerebellar ataxia, short therapy";F;2009/06/03;"013O"
"013X";"01";"Multiple sclerosis and cerebellar ataxia";"Multiple sclerosis and cerebellar ataxia";T;1996/12/31;" 13"
"014A";"01";"Specific cerebrovascular disorders except TIA with cc";"Specific cerebrovascular disorders except TIA with cc";T;2003/04/25;" 14A"
"014B";"01";"Specific cerebrovascular disorders except TIA w/o cc";"Specific cerebrovascular disorders except TIA w/o cc";T;2003/04/25;" 14B"
"014C";"01";"Specific cerebrovascular disorders except TIA with cc";"Specific cerebrovascular disorders except TIA with cc";F;2010/03/02;" 14C"
"014M";"01";"Specific cerebrovascular disorders except TIA with mcc";"Specific cerebrovascular disorders except TIA with mcc";F;2010/03/02;" 14M"
"014N";"01";"Specific cerebrovascular disorders except TIA w/o cc";"Specific cerebrovascular disorders except TIA w/o cc";F;2010/03/02;" 14N"
"014X";"01";"Specific cerebrovascular disorders except TIA";"Specific cerebrovascular disorders except TIA";F;1996/12/31;" 14"
"015C";"01";"Transient ischemic attac & precerebral occlusions with cc";"Transient ischemic attac & precerebral occlusions with cc";F;2010/03/02;" 15C"
"015M";"01";"Transient ischemic attac & precerebral occlusions with mcc";"Transient ischemic attac & precerebral occlusions with mcc";F;2010/03/02;" 15M"
"015N";"01";"Transient ischemic attac & precerebral occlusions";"Transient ischemic attac & precerebral occlusions";F;1996/12/31;" 15N"
"015X";"01";"Transient ischemic attac & precerebral occlusions";"Transient ischemic attac & precerebral occlusions";T;1996/12/31;" 15"
"016C";"01";"Nonspecific cerebrovascular disorders w cc";"Nonspecific cerebrovascular disorders w cc";F;2010/03/02;" 16C"
"016M";"01";"Nonspecific cerebrovascular disorders w mcc";"Nonspecific cerebrovascular disorders w mcc";F;2010/03/02;" 16M"
"016X";"01";"Nonspecific cerebrovascular disorders w cc";"Nonspecific cerebrovascular disorders w cc";T;1996/12/31;" 16"
"017X";"01";"Nonspecific cerebrovascular disorders w/o cc";"Nonspecific cerebrovascular disorders w/o cc";T;1996/12/31;" 17"
"018C";"01";"Cranial & periferal nerve disorders w cc";"Cranial & periferal nerve disorders w cc";F;2010/03/02;" 18C"
"018M";"01";"Cranial & periferal nerve disorders w mcc";"Cranial & periferal nerve disorders w mcc";F;2010/03/02;" 18M"
"018X";"01";"Cranial & periferal nerve disorders w cc";"Cranial & periferal nerve disorders w cc";T;1996/12/31;" 18"
"019O";"01";"Cranial & periferal nerve disorders, short therapy";"Cranial & periferal nerve disorders, short therapy";F;2009/06/03;"019O"
"019X";"01";"Cranial & periferal nerve disorders w/o cc";"Cranial & periferal nerve disorders w/o cc";T;1996/12/31;" 19"
"020M";"01";"Nervoussystem infection except viral meningitis with mcc";"Nervoussystem infection except viral meningitis with mcc";F;2010/03/02;" 20M"
"020N";"01";"Nervoussystem infection except viral meningitis";"Nervoussystem infection except viral meningitis";F;2010/03/02;" 20N"
"020X";"01";"Nervoussystem infection except viral meningitis";"Nervoussystem infection except viral meningitis";T;1996/12/31;" 20"
"021C";"01";"Viral meningitis with cc";"Viral meningitis with cc";F;2010/03/02;" 21C"
"021N";"01";"Viral meningitis";"Viral meningitis";F;2010/03/02;" 21N"
"021X";"01";"Viral meningitis";"Viral meningitis";T;1996/12/31;" 21"
"022X";"01";"Hypertensive encephalopathy";"Hypertensive encephalopathy";F;1996/12/31;" 22"
"023C";"01";"Nontraumatic stupor & coma with cc";"Nontraumatic stupor & coma with cc";F;2010/03/02;" 23C"
"023N";"01";"Nontraumatic stupor & coma";"Nontraumatic stupor & coma";F;2010/03/02;" 23N"
"023X";"01";"Nontraumatic stupor & coma";"Nontraumatic stupor & coma";T;1996/12/31;" 23"
"024X";"01";"Seizure & headache age > 17 w cc";"Seizure & headache age > 17 w cc";T;1996/12/31;" 24"
"025NP";"01";"Headache, short therapy";"Headache, short therapy";F;2009/07/09;"025NP"
"025NR";"01";"Seizure, short therapy";"Seizure, short therapy";F;2009/07/09;"025NR"
"025O";"01";"Seizure & headache, short therapy";"Seizure & headache, short therapy";F;2009/06/03;"025O"
"025X";"01";"Seizure & headache age > 17 w/o cc";"Seizure & headache age > 17 w/o cc";T;1996/12/31;" 25"
"026A";"01";"Seizure & headache age 0-17, w CC";"Seizure & headache age 0-17, w CC";F;1998/11/23;" 26A"
"026B";"01";"Seizure & headache age 0-17, w/o CC";"Seizure & headache age 0-17, w/o CC";F;1998/11/23;" 26B"
"026C";"01";"Seizure & headache age w cc";"Seizure & headache age w cc";F;2010/03/02;" 26C"
"026M";"01";"Seizure & headache age w mcc";"Seizure & headache age w mcc";F;2010/03/02;" 26M"
"026N";"01";"Seizure & headache age w/o cc";"Seizure & headache age w/o cc";F;2010/03/02;" 26N"
"026X";"01";"Seizure & headache age 0-17";"Seizure & headache age 0-17";T;1996/12/31;" 26"
"027A";"01";"Severe traumatic brain injury, age 0-17 yrs";"Severe traumatic brain injury, age 0-17 yrs";F;2003/10/09;" 27A"
"027B";"01";"Severe traumatic brain injury, age >17 yrs";"Severe traumatic brain injury, age >17 yrs";F;2003/10/09;" 27B"
"027C";"01";"Severe traumatic brain injury w cc";"Severe traumatic brain injury w cc";F;2010/03/02;" 27C"
"027M";"01";"Severe traumatic brain injury w mcc";"Severe traumatic brain injury w mcc";F;2010/03/02;" 27M"
"027N";"01";"Severe traumatic brain injury";"Severe traumatic brain injury";F;2010/03/02;" 27N"
"027X";"01";"Severe traumatic brain injury";"Severe traumatic brain injury";T;1998/11/19;" 27"
"028X";"01";"Traumatic brain injury, age > 17, with cc";"Traumatic brain injury, age > 17, with cc";T;1998/11/19;" 28"
"029X";"01";"Traumatic brain injury, age > 17, w/o cc";"Traumatic brain injury, age > 17, w/o cc";T;1998/11/19;" 29"
"030A";"01";"Traumatic brain injury, age 0-17, w CC";"Traumatic brain injury, age 0-17, w CC";F;1998/11/23;" 30A"
"030B";"01";"Traumatic brain injury, age 0-17, w/o CC";"Traumatic brain injury, age 0-17, w/o CC";F;1998/11/23;" 30B"
"030C";"01";"Traumatic brain injury w cc";"Traumatic brain injury w cc";F;2010/03/02;" 30C"
"030M";"01";"Traumatic brain injury w mcc";"Traumatic brain injury w mcc";F;2010/03/02;" 30M"
"030N";"01";"Traumatic brain injury w/o cc";"Traumatic brain injury w/o cc";F;2010/03/02;" 30N"
"030X";"01";"Traumatic brain injury, age 0-17";"Traumatic brain injury, age 0-17";T;1998/11/19;" 30"
"031X";"01";"Concussion, age > 17 w cc";"Concussion, age > 17 w cc";T;1996/12/31;" 31"
"032X";"01";"Concussion, age > 17 w/o cc";"Concussion, age > 17 w/o cc";T;1996/12/31;" 32"
"033A";"01";"Concussion, age 0-17, w CC";"Concussion, age 0-17, w CC";F;1998/11/23;" 33A"
"033B";"01";"Concussion, age 0-17, w/o CC";"Concussion, age 0-17, w/o CC";F;2000/11/23;" 33B"
"033C";"01";"Concussion w cc";"Concussion w cc";F;2010/03/02;" 33C"
"033M";"01";"Concussion w mcc";"Concussion w mcc";F;2010/03/02;" 33M"
"033N";"01";"Concussion w/o cc";"Concussion w/o cc";F;2010/03/02;" 33N"
"033X";"01";"Concussion, age 0-17";"Concussion, age 0-17";T;1996/12/31;" 33"
"034C";"01";"Other disorders of nervous system w cc";"Other disorders of nervous system w cc";F;2010/03/02;" 34C"
"034M";"01";"Other disorders of nervous system w mcc";"Other disorders of nervous system w mcc";F;2010/03/02;" 34M"
"034X";"01";"Other disorders of nervous system w cc";"Other disorders of nervous system w cc";T;1996/12/31;" 34"
"035X";"01";"Other disorders of nervous system w/o cc";"Other disorders of nervous system w/o cc";T;1996/12/31;" 35"
"036A";"02";"Other retinal procedures";"Other retinal procedures";T;2007/04/17;" 36A"
"036B";"02";"Extensive procedure for retinal detachment";"Extensive procedure for retinal detachment";T;2007/04/17;" 36B"
"036C";"02";"Brachytherapy at eye";"Brachytherapy at eye";T;2007/04/17;" 36C"
"036D";"02";"Major eye procedure";"Major eye procedure";T;2007/04/17;" 36D"
"036O";"02";"Retinal procedures, short therapy";"Retinal procedures, short therapy";T;2003/05/23;" 36O"
"037C";"02";"Orbital procedures w cc";"Orbital procedures w cc";F;2010/03/02;" 37C"
"037N";"02";"Orbital procedures";"Orbital procedures";F;2010/03/02;" 37N"
"037O";"02";"Orbital procedures, short therapy";"Orbital procedures, short therapy";T;2003/05/23;" 37O"
"037X";"02";"Orbital procedures";"Orbital procedures";T;2003/05/26;" 37"
"038O";"02";"Primary iris procedures, short therapy";"Primary iris procedures, short therapy";T;2003/05/23;" 38O"
"038X";"02";"Primary iris procedures";"Primary iris procedures";T;1996/12/31;" 38"
"039FO";"02";"Unilateral lens procedures with or without vitrectomy, short therapy";"Unilateral lens procedures with or without vitrectomy, sh th";F;2007/11/26;" 39O"
"039FP";"02";"Bilateral lens procedures, short therapy";"Bilateral lens procedures, short therapy";F;2007/11/26;" 39P"
"039O";"02";"Lens procedures with or without vitrectomy, short therapy";"Lens procedures with or without vitrectomy, short therapy";F;2012/06/29;"039O"
"039P";"02";"Bilateral lens procedures with or without vitrectomy, short therapy";"Bilat lens  with or without vitrectomy, short ther";T;2012/06/29;"039P"
"039Q";"02";"Unilateral lens procedures with or without vitrectomy, short therapy";"Unilat lens procedures , short therapy";T;2012/06/29;"039Q"
"039X";"02";"Lens procedures with or without vitrectomy";"Lens procedures with or without vitrectomy";T;1997/06/18;" 39"
"040N";"02";"Extraocular procedures except orbit age >17";"Extraocular procedures except orbit age >17";T;2007/04/17;" 40N"
"040X";"02";"Extraocular procedures except orbit age >17";"Extraocular procedures except orbit age >17";F;2007/04/17;" 40"
"041C";"02";"Extraocular procedures except orbit w cc";"Extraocular procedures except orbit w cc";F;2010/03/02;" 41C"
"041N";"02";"Extraocular procedures except orbit w/o cc";"Extraocular procedures except orbit w/o cc";F;2010/03/02;" 41N"
"041O";"02";"Extraocular procedures except orbit, short therapy";"Extraocular procedures except orbit, short therapy";T;2003/05/23;" 41O"
"041X";"02";"Extraocular procedures except orbit age 0-17";"Extraocular procedures except orbit age 0-17";T;1996/12/31;" 41"
"042C";"02";"Intraocular procedures except retina iris & lens w cc";"Intraocular procedures except retina iris & lens w cc";F;2010/03/02;" 42C"
"042N";"02";"Intraocular procedures except retina iris & lens";"Intraocular procedures except retina iris & lens";F;2010/03/02;" 42N"
"042O";"02";"Intraocular procedures except retina iris & lens, short therapy";"Intraocular procedures except retina iris & lens, short ther";T;2003/05/23;" 42O"
"042X";"02";"Intraocular procedures except retina iris & lens";"Intraocular procedures except retina iris & lens";T;1996/12/31;" 42"
"043X";"02";"Hyphema";"Hyphema";T;1996/12/31;" 43"
"044X";"02";"Acute major eye infections";"Acute major eye infections";T;1996/12/31;" 44"
"045X";"02";"Neurological eye disorders";"Neurological eye disorders";T;1996/12/31;" 45"
"046X";"02";"Other disorders of the eye, age > 17 w cc";"Other disorders of the eye, age > 17 w cc";T;1996/12/31;" 46"
"047X";"02";"Other disorders of the eye, age > 17 w/o cc";"Other disorders of the eye, age > 17 w/o cc";T;1996/12/31;" 47"
"048A";"02";"Other disorders of the eye, age 0-17, w CC";"Other disorders of the eye, age 0-17, w CC";F;1998/11/23;" 48A"
"048B";"02";"Other disorders of the eye, age 0-17, w/o CC";"Other disorders of the eye, age 0-17, w/o CC";F;1998/11/23;" 48B"
"048C";"02";"Other disorders of the eye w cc";"Other disorders of the eye w cc";F;2010/03/02;" 48C"
"048N";"02";"Other disorders of the eye w/o cc";"Other disorders of the eye w/o cc";F;2010/03/02;" 48N"
"048X";"02";"Other disorders of the eye, age 0-17";"Other disorders of the eye, age 0-17";T;1996/12/31;" 48"
"049A";"03";"Other major operations on head and neck";"Other major operations on head and neck";T;2005/04/28;"49A"
"049B";"03";"Insertion of cochlear implant";"Insertion of cochlear implant";T;2005/04/28;"49B"
"049X";"03";"Major head & neck procedures";"Major head & neck procedures";F;2005/04/28;" 49"
"050N";"03";"Parotidectomy";"Parotidectomy";T;2008/04/13;" 50N"
"050X";"03";"Sialoadenectomy";"Sialoadenectomy";F;2008/06/10;" 50"
"051N";"03";"Salivary gland procedures except parotidectomy";"Salivary gland procedures except parotidectomy";T;2008/04/13;" 51N"
"051O";"03";"Salivary gland procedures except paroditectomy. short therapy";"Salivary gland procedures except paroditectomy. short therap";T;2008/04/13;" 51O"
"051X";"03";"Salivary gland procedures except sialoadenectomy";"Salivary gland procedures except sialoadenectomy";F;2008/06/10;" 51"
"052A";"03";"Cleft lip &palate secondary repair, age > 2 yrs";"Cleft lip &palate secondary repair, age > 2 yrs";F;2000/10/01;" 52A"
"052B";"03";"Cleft lip &palate other repair";"Cleft lip &palate other repair";F;2000/10/01;" 52B"
"052X";"03";"Cleft lip & palate repair";"Cleft lip & palate repair";T;1996/12/31;" 52"
"053A";"03";"Sinus procedures";"Sinus procedures";T;2005/05/02;" 53A"
"053B";"03";"Mastoid, temporal bone and inner ear procedures";"Mastoid, temporal bone and inner ear procedures";T;2005/04/28;" 53B"
"053X";"03";"Sinus & mastoid procedure, age > 17";"Sinus & mastoid procedure, age > 17";F;2005/04/28;" 53"
"054O";"03";"Sinus procedure, short therapy";"Sinus procedure, short therapy";T;2005/04/28;" 54O"
"054P";"03";"Mastoid, temporal bone and inner ear procedures, short therapy";"Mastoid, temporal bone and inner ear procedures, short thera";T;2004/08/27;" 54P"
"054X";"03";"Sinus & mastoid procedure, age 0-17";"Sinus & mastoid procedure, age 0-17";F;2003/05/28;" 54"
"055O";"03";"Miscellaneous major ear, nose , mouth & throat procedures, short therapy";"Miscellaneous major ear, nose , mouth & throat procedures, s";T;2003/05/23;" 55O"
"055P";"03";"Other minor ear, nose , mouth & throat procedures, short therapy";"Other minor ear, nose , mouth & throat procedures, short the";T;2003/05/23;" 55P"
"055X";"03";"Miscellaneous ear, nose , mouth & throat procedures";"Miscellaneous ear, nose , mouth & throat procedures";T;2002/04/18;" 55"
"056O";"03";"Rhinoplasty, short therapy";"Rhinoplasty, short therapy";T;2003/05/23;" 56O"
"056X";"03";"Rhinoplasty";"Rhinoplasty";T;1997/11/10;" 56"
"057X";"03";"T&a proc, except tonsillectomy &/or adenoidectomy only, age > 17";"T&a proc, except tonsillectomy &/or adenoidectomy only, age";F;1996/12/31;" 57"
"058X";"03";"T&a proc, except tonsillectomy &/or adenoidectomy only, age 0-17";"T&a proc, except tonsillectomy &/or adenoidectomy only, age";F;1996/12/31;" 58"
"059X";"03";"Tonsillectomy &/or adenoidectomy only, age >17";"Tonsillectomy &/or adenoidectomy only, age >17";F;1996/12/31;" 59"
"060N";"03";"Tonsilectomy &/or adenoidectomy";"Tonsilectomy &/or adenoidectomy";F;2012/09/28;"060N"
"060O";"03";"Operations on tonsils or adenois, short therapy";"Operations on tonsils or adenois, short therapy";T;2003/05/23;" 60O"
"060X";"03";"Tonsillectomy &/or adenoidectomy only";"Tonsillectomy &/or adenoidectomy only";T;2012/12/20;" 60"
"061X";"03";"Myringotomy w tube insertion, age > 17";"Myringotomy w tube insertion, age > 17";F;1996/12/31;" 61"
"062O";"03";"Myringotomy w tube insertion, short therapy";"Myringotomy w tube insertion, short therapy";F;2003/05/23;" 62O"
"062X";"03";"Myringotomy w tube insertion, age 0-17";"Myringotomy w tube insertion, age 0-17";F;1996/12/31;" 62"
"063A";"03";"Other major ear, nose, mouth & throat o. r. procedures, age 0-17 yrs";"Other major ear, nose, mouth & throat o. r. proc, age 0-17";F;2003/10/09;" 63A"
"063B";"03";"Other major ear, nose, mouth & throat o. r. procedures, age >17 yrs";"Other major ear, nose, mouth & throat o. r. proc, age > 17";F;2003/10/09;" 63B"
"063O";"03";"Other major ear, nose, mouth & throat o. r. procedures, short therapy";"Other major ear, nose, mouth & throat o. r. procedures, shor";T;2003/05/23;" 63O"
"063X";"03";"Other major ear, nose, mouth & throat o. r. procedures";"Other major ear, nose, mouth & throat o. r. procedures";T;2002/04/18;" 63"
"064C";"03";"Ear, nose, mouth & throat malignancy w cc";"Ear, nose, mouth & throat malignancy w cc";F;2010/03/02;" 64C"
"064FA";"03";"Ear, nose, mouth & throat malignancy, radiotherapy";"Ear, nose, mouth & throat malignancy, radiotherapy";F;2006/01/13;" 64A"
"064FB";"03";"Ear, nose, mouth & throat malignancy, cytostatic therapy";"Ear, nose, mouth & throat malignancy, cytostatic therapy";F;2006/01/13;" 64B"
"064FC";"03";"Ear, nose, mouth & throat malignancy, demanding cytostatic therapy";"Ear, nose, mouth & throat malignancy, demanding cytostatic t";F;2006/01/13;" 64C"
"064FD";"03";"Ear, nose, mouth & throat malignancy, special demanding cytostatic therapy";"Ear, nose, mouth & throat malignancy, special demanding cyto";F;2006/01/13;" 64D"
"064FE";"03";"Ear, nose, mouth & throat malignancy";"Ear, nose, mouth & throat malignancy";F;2006/01/13;" 64E"
"064M";"03";"Ear, nose, mouth & throat malignancy w mcc";"Ear, nose, mouth & throat malignancy w mcc";F;2010/03/02;" 64M"
"064N";"03";"Ear, nose, mouth & throat malignancy";"Ear, nose, mouth & throat malignancy";F;2010/03/02;" 64N"
"064X";"03";"Ear, nose, mouth & throat malignancy";"Ear, nose, mouth & throat malignancy";T;1996/12/31;" 64"
"065C";"03";"Dysequilibrium w cc";"Dysequilibrium w cc";F;2010/03/02;" 65C"
"065M";"03";"Dysequilibrium w mcc";"Dysequilibrium w mcc";F;2010/03/02;" 65M"
"065N";"03";"Dysequilibrium";"Dysequilibrium";F;2010/03/02;" 65N"
"065X";"03";"Dysequilibrium";"Dysequilibrium";T;1996/12/31;" 65"
"066C";"03";"Epistaxis w cc";"Epistaxis w cc";F;2010/03/02;" 66C"
"066N";"03";"Epistaxis";"Epistaxis";F;2010/03/02;" 66N"
"066X";"03";"Epistaxis";"Epistaxis";T;1996/12/31;" 66"
"067X";"03";"Epiglottitis";"Epiglottitis";T;1996/12/31;" 67"
"068X";"03";"Otitis media & uri, age > 17 w cc";"Otitis media & uri, age > 17 w cc";T;1996/12/31;" 68"
"069O";"03";"Otitis media & uri, short therapy";"Otitis media & uri, short therapy";F;/  /;"069O"
"069X";"03";"Otitis media & uri, age > 17 w/o cc";"Otitis media & uri, age > 17 w/o cc";T;1996/12/31;" 69"
"070A";"03";"Otitis media & uri, age 0-17, w cc";"Otitis media & uri, age 0-17, w cc";T;2000/04/26;" 70A"
"070B";"03";"Otitis media & uri, age 0-17, w/o cc";"Otitis media & uri, age 0-17, w/o cc";T;2000/04/26;" 70B"
"070C";"03";"Otitis media & uri w cc";"Otitis media & uri w cc";F;2010/05/10;" 70C"
"070N";"03";"Otitis media & uri w/o cc";"Otitis media & uri w/o cc";F;2010/05/10;" 70N"
"070X";"03";"Otitis media & uri, age 0-17";"Otitis media & uri, age 0-17";F;1996/12/31;" 70"
"071X";"03";"Laryngotracheitis";"Laryngotracheitis";T;1996/12/31;" 71"
"072C";"03";"Nasal trauma & deformity w cc";"Nasal trauma & deformity w cc";F;2010/03/02;" 72C"
"072N";"03";"Nasal trauma & deformity";"Nasal trauma & deformity";F;2010/03/02;" 72N"
"072X";"03";"Nasal trauma & deformity";"Nasal trauma & deformity";T;1996/12/31;" 72"
"073C";"03";"Other ear, nose, mouth & throat diagnoses > 17 w cc";"Other ear, nose, mouth & throat diagnoses >17  w cc";F;2010/05/10;" 73C"
"073N";"03";"Other ear, nose, mouth & throat diagnoses >17 w/o cc";"Other ear, nose, mouth & throat diagnoses >17 w/o cc";F;2010/05/10;" 73N"
"073X";"03";"Other ear, nose, mouth & throat diagnoses age > 17";"Other ear, nose, mouth & throat diagnoses age > 17";T;1996/12/31;" 73"
"074X";"03";"Other ear, nose, mouth & throat diagnoses age 0-17";"Other ear, nose, mouth & throat diagnoses age 0-17";T;1996/12/31;" 74"
"075C";"04";"Major chest procedures w cc";"Major chest procedures w cc";F;2010/03/02;" 75C"
